month_range,month_nm,sample_cnt,ARPU,Retention
1,M-0,215,5709,1
1,M-1,41,18271,0.1907
1,M-2,20,38449,0.093
1,M-3,31,18391,0.1442
2,M-0,96,6626,1
2,M-1,28,9454,0.2917
2,M-2,10,9370,0.1042
2,M-3,15,11547,0.1563
3,M-0,177,4346,1
3,M-1,40,7192,0.226
3,M-2,20,9981,0.113
3,M-3,33,7996,0.1864
4,M-0,163,3211,1
4,M-1,34,6134,0.2086
4,M-2,18,4244,0.1104
4,M-3,26,4791,0.1595
5,M-0,112,3449,1
5,M-1,29,6281,0.2589
5,M-2,9,4917,0.0804
5,M-3,12,5990,0.1071
6,M-0,137,2428,1
6,M-1,26,3990,0.1898
6,M-2,15,4815,0.1095
6,M-3,17,2766,0.1241
7,M-0,94,2955,1
7,M-1,23,6723,0.2447
7,M-2,8,8480,0.0851
7,M-3,5,14015,0.0532
8,M-0,135,2238,1
8,M-1,30,3423,0.2222
8,M-2,14,3623,0.1037
8,M-3,7,8702,0.0519
9,M-0,78,2155,1
9,M-1,15,3316,0.1923
9,M-2,3,2997,0.0385
9,M-3,2,4619,0.0256
